S.no,Player Name,Runs in Flat Pitches,Runs in Red Soil Pitches,Runs in Black Soil Pitches,Dismissals in Flat Pitches,Dismissals in Red Soil Pitches,Dismissals in Black Soil Pitches
1,V Kohli,14785,1836,1104,232,33,19
2,RG Sharma,9993,3034,418,207,87,15
3,DA Warner,11943,402,144,207,10,4
4,JC Buttler,10752,1031,185,214,31,10
5,JJ Roy,10416,163,188,244,2,4
6,JE Root,10411,231,106,164,5,2
7,AD Hales,10640,87,11,233,3,2
8,KC Sangakkara,10527,189,0,173,4,0
9,JM Vince,9958,0,0,193,0,0
10,CH Gayle,9179,452,27,190,12,2
11,Q de Kock,8546,832,259,193,17,7
12,KS Williamson,9119,230,133,159,9,6
13,MS Dhoni,8236,720,483,145,26,13
14,AB de Villiers,8775,442,153,133,10,4
15,SPD Smith,8491,123,668,157,7,12
16,BM Duckett,9081,0,39,191,1,1
17,F du Plessis,7837,857,207,151,17,10
18,AJ Finch,8534,238,119,185,5,5
19,Babar Azam,8752,0,0,156,0,0
20,S Dhawan,7198,906,525,146,23,13
21,MJ Guptill,8060,114,11,171,5,2
22,WL Madsen,8104,0,0,156,0,0
23,CA Ingram,8039,48,0,149,2,0
24,C Munro,7955,28,36,164,1,2
25,JM Bairstow,7555,178,278,136,8,6
26,GJ Maxwell,7326,373,103,199,12,8
27,KL Rahul,6412,946,375,130,16,11
28,DJ Bell-Drummond,7683,0,0,179,0,0
29,DA Miller,6867,484,245,122,14,5
30,N Pooran,7076,239,66,160,11,2
31,DJ Malan,7195,6,153,155,1,2
32,TM Head,7076,206,12,132,6,2
33,HM Amla,7201,81,0,124,2,0
34,JM Clarke,7243,0,0,163,0,0
35,HC Brook,6979,96,62,127,6,2
36,SA Northeast,7011,0,0,121,0,0
37,Shubman Gill,6033,498,258,104,17,6
38,SK Raina,5527,751,311,132,19,8
39,RS Bopara,6518,31,0,148,2,0
40,T Kohler-Cadmore,6520,0,0,170,0,0
41,SR Tendulkar,5410,1110,0,75,32,0
42,MM Ali,6086,269,126,188,10,6
43,LRPL Taylor,6163,247,21,130,7,1
44,KA Pollard,5037,1296,59,122,43,3
45,AZ Lees,6387,0,0,122,0,0
46,EJG Morgan,6191,100,54,167,4,3
47,A Lyth,6308,0,0,158,0,0
48,BB McCullum,5876,337,93,130,9,3
49,SR Watson,5660,342,277,135,9,7
50,V Sehwag,5777,372,58,113,15,3
51,PD Salt,5989,178,23,151,7,1
52,RR Rossouw,6153,24,0,133,1,0
53,SD Hope,5996,75,95,125,2,1
54,TWM Latham,5818,148,143,138,5,4
55,TM Dilshan,5987,101,0,121,5,0
56,MR Marsh,5516,261,226,126,8,3
57,AM Rahane,4808,652,533,117,18,19
